queryID,n_prune_user,n_result_user,n_refine_user,ip_cost,io_cost,total_time,memory_index_time,io_time
         0,    283170,        43,        15,    283228,      1024,      0.23,      0.13,      0.10
         1,    283178,        50,         0,    283228,         0,      0.11,      0.11,      0.00
         2,    283178,        50,         0,    283228,         0,      0.10,      0.10,      0.00
         3,    283178,        50,         0,    283228,         0,      0.12,      0.12,      0.00
         4,    283177,        49,         2,    283228,       128,      0.13,      0.11,      0.01
         5,    283178,        50,         0,    283228,         0,      0.11,      0.11,      0.00
         6,    283178,        50,         0,    283228,         0,      0.12,      0.12,      0.00
         7,    283178,        50,         0,    283228,         0,      0.11,      0.11,      0.00
         8,    283178,        50,         0,    283228,         0,      0.13,      0.12,      0.00
         9,    283178,        50,         0,    283228,         0,      0.12,      0.12,      0.00
        10,    283178,        50,         0,    283228,         0,      0.13,      0.13,      0.00
        11,    283177,        47,         4,    283228,       448,      0.13,      0.10,      0.03
        12,    283177,        48,         3,    283228,       256,      0.14,      0.13,      0.01
        13,    283178,        50,         0,    283228,         0,      0.11,      0.11,      0.00
        14,    283178,        50,         0,    283228,         0,      0.11,      0.11,      0.00
        15,    283178,        50,         0,    283228,         0,      0.12,      0.11,      0.00
        16,    283178,        50,         0,    283228,         0,      0.11,      0.11,      0.00
        17,    283177,        49,         2,    283228,       128,      0.13,      0.11,      0.01
        18,    283178,        50,         0,    283228,         0,      0.11,      0.11,      0.00
        19,    283178,        50,         0,    283228,         0,      0.12,      0.11,      0.00
        20,    283178,        50,         0,    283228,         0,      0.12,      0.12,      0.00
        21,    283178,        50,         0,    283228,         0,      0.11,      0.10,      0.00
        22,    283178,        50,         0,    283228,         0,      0.12,      0.11,      0.00
        23,    283178,        50,         0,    283228,         0,      0.12,      0.11,      0.00
        24,    283178,        50,         0,    283228,         0,      0.12,      0.11,      0.00
        25,    283177,        49,         2,    283228,       128,      0.12,      0.10,      0.01
        26,    283177,        49,         2,    283228,       128,      0.13,      0.11,      0.01
        27,    283178,        50,         0,    283228,         0,      0.11,      0.11,      0.00
        28,    283178,        50,         0,    283228,         0,      0.12,      0.12,      0.00
        29,    283176,        47,         5,    283228,       384,      0.13,      0.10,      0.03
        30,    283175,        48,         5,    283228,       320,      0.16,      0.13,      0.03
        31,    283178,        50,         0,    283228,         0,      0.12,      0.12,      0.00
        32,    283177,        49,         2,    283228,       128,      0.12,      0.11,      0.01
        33,    283178,        50,         0,    283228,         0,      0.12,      0.12,      0.00
        34,    283178,        50,         0,    283228,         0,      0.13,      0.13,      0.00
        35,    283178,        50,         0,    283228,         0,      0.12,      0.12,      0.00
        36,    283178,        50,         0,    283228,         0,      0.11,      0.11,      0.00
        37,    283178,        50,         0,    283228,         0,      0.10,      0.10,      0.00
        38,    283177,        49,         2,    283228,       192,      0.12,      0.09,      0.02
        39,    283178,        50,         0,    283228,         0,      0.10,      0.10,      0.00
        40,    283178,        50,         0,    283228,         0,      0.12,      0.12,      0.00
        41,    283177,        49,         2,    283228,       128,      0.13,      0.11,      0.02
        42,    283178,        50,         0,    283228,         0,      0.11,      0.11,      0.00
        43,    283178,        50,         0,    283228,         0,      0.10,      0.10,      0.00
        44,    283178,        50,         0,    283228,         0,      0.10,      0.10,      0.00
        45,    283178,        50,         0,    283228,         0,      0.11,      0.11,      0.00
        46,    283178,        50,         0,    283228,         0,      0.12,      0.12,      0.00
        47,    283178,        50,         0,    283228,         0,      0.12,      0.12,      0.00
        48,    283178,        50,         0,    283228,         0,      0.12,      0.11,      0.00
        49,    283178,        50,         0,    283228,         0,      0.10,      0.10,      0.00
        50,    283176,        48,         4,    283228,       256,      0.15,      0.12,      0.03
        51,    283178,        50,         0,    283228,         0,      0.11,      0.11,      0.00
        52,    283178,        50,         0,    283228,         0,      0.12,      0.12,      0.00
        53,    283178,        50,         0,    283228,         0,      0.11,      0.10,      0.00
        54,    283178,        50,         0,    283228,         0,      0.11,      0.11,      0.00
        55,    283178,        50,         0,    283228,         0,      0.12,      0.12,      0.00
        56,    283178,        50,         0,    283228,         0,      0.10,      0.10,      0.00
        57,    283177,        49,         2,    283228,       192,      0.12,      0.10,      0.02
        58,    283178,        50,         0,    283228,         0,      0.12,      0.12,      0.00
        59,    283178,        50,         0,    283228,         0,      0.10,      0.10,      0.00
        60,    283177,        49,         2,    283228,       128,      0.13,      0.12,      0.01
        61,    283177,        49,         2,    283228,       128,      0.12,      0.11,      0.01
        62,    283175,        48,         5,    283228,       320,      0.16,      0.12,      0.04
        63,    283177,        49,         2,    283228,       192,      0.11,      0.10,      0.01
        64,    283176,        47,         5,    283228,       384,      0.15,      0.13,      0.02
        65,    283178,        50,         0,    283228,         0,      0.11,      0.10,      0.00
        66,    283177,        48,         3,    283228,       192,      0.14,      0.12,      0.02
        67,    283178,        50,         0,    283228,         0,      0.12,      0.11,      0.00
        68,    283178,        50,         0,    283228,         0,      0.12,      0.12,      0.00
        69,    283176,        48,         4,    283228,       256,      0.15,      0.12,      0.03
        70,    283178,        50,         0,    283228,         0,      0.10,      0.10,      0.00
        71,    283178,        50,         0,    283228,         0,      0.12,      0.12,      0.00
        72,    283178,        50,         0,    283228,         0,      0.11,      0.11,      0.00
        73,    283178,        50,         0,    283228,         0,      0.11,      0.11,      0.00
        74,    283178,        50,         0,    283228,         0,      0.11,      0.11,      0.00
        75,    283177,        48,         3,    283228,       192,      0.13,      0.11,      0.02
        76,    283178,        50,         0,    283228,         0,      0.11,      0.11,      0.00
        77,    283178,        50,         0,    283228,         0,      0.11,      0.10,      0.00
        78,    283176,        49,         3,    283228,       192,      0.14,      0.11,      0.02
        79,    283178,        50,         0,    283228,         0,      0.10,      0.10,      0.00
        80,    283178,        50,         0,    283228,         0,      0.12,      0.12,      0.00
        81,    283178,        50,         0,    283228,         0,      0.10,      0.10,      0.00
        82,    283176,        47,         5,    283228,       320,      0.17,      0.12,      0.05
        83,    283178,        50,         0,    283228,         0,      0.10,      0.10,      0.00
        84,    283178,        50,         0,    283228,         0,      0.12,      0.11,      0.00
        85,    283178,        50,         0,    283228,         0,      0.10,      0.10,      0.00
        86,    283178,        50,         0,    283228,         0,      0.11,      0.11,      0.00
        87,    283178,        50,         0,    283228,         0,      0.11,      0.11,      0.00
        88,    283178,        50,         0,    283228,         0,      0.10,      0.10,      0.00
        89,    283178,        50,         0,    283228,         0,      0.09,      0.09,      0.00
        90,    283176,        48,         4,    283228,       256,      0.12,      0.10,      0.03
        91,    283178,        50,         0,    283228,         0,      0.10,      0.10,      0.00
        92,    283178,        50,         0,    283228,         0,      0.11,      0.11,      0.00
        93,    283178,        50,         0,    283228,         0,      0.10,      0.10,      0.00
        94,    283178,        50,         0,    283228,         0,      0.10,      0.10,      0.00
        95,    283177,        48,         3,    283228,       256,      0.13,      0.11,      0.02
        96,    283178,        50,         0,    283228,         0,      0.11,      0.11,      0.00
        97,    283177,        49,         2,    283228,       128,      0.12,      0.11,      0.01
        98,    283176,        48,         4,    283228,       256,      0.16,      0.12,      0.03
        99,    283178,        50,         0,    283228,         0,      0.10,      0.10,      0.00
       100,    283178,        50,         0,    283228,         0,      0.10,      0.10,      0.00
       101,    283178,        50,         0,    283228,         0,      0.10,      0.10,      0.00
       102,    283178,        50,         0,    283228,         0,      0.12,      0.12,      0.00
       103,    283178,        50,         0,    283228,         0,      0.11,      0.11,      0.00
       104,    283177,        49,         2,    283228,       192,      0.12,      0.10,      0.02
       105,    283178,        50,         0,    283228,         0,      0.11,      0.11,      0.00
       106,    283177,        48,         3,    283228,       192,      0.13,      0.11,      0.01
       107,    283178,        50,         0,    283228,         0,      0.11,      0.11,      0.00
       108,    283177,        49,         2,    283228,       128,      0.13,      0.12,      0.01
       109,    283178,        50,         0,    283228,         0,      0.11,      0.11,      0.00
       110,    283178,        50,         0,    283228,         0,      0.12,      0.12,      0.00
       111,    283178,        50,         0,    283228,         0,      0.10,      0.10,      0.00
       112,    283171,        34,        23,    283228,      1472,      0.25,      0.12,      0.13
       113,    283177,        49,         2,    283228,       128,      0.14,      0.12,      0.02
       114,    283176,        47,         5,    283228,       320,      0.16,      0.12,      0.04
       115,    283178,        50,         0,    283228,         0,      0.09,      0.09,      0.00
       116,    283178,        50,         0,    283228,         0,      0.12,      0.12,      0.00
       117,    283178,        50,         0,    283228,         0,      0.11,      0.10,      0.00
       118,    283177,        49,         2,    283228,       128,      0.15,      0.12,      0.02
       119,    283178,        50,         0,    283228,         0,      0.11,      0.10,      0.00
       120,    283177,        49,         2,    283228,       128,      0.13,      0.11,      0.02
       121,    283178,        50,         0,    283228,         0,      0.11,      0.11,      0.00
       122,    283178,        50,         0,    283228,         0,      0.12,      0.12,      0.00
       123,    283177,        49,         2,    283228,       128,      0.14,      0.12,      0.02
       124,    283178,        50,         0,    283228,         0,      0.11,      0.11,      0.00
       125,    283178,        50,         0,    283228,         0,      0.11,      0.11,      0.00
       126,    283178,        50,         0,    283228,         0,      0.13,      0.12,      0.00
       127,    283178,        50,         0,    283228,         0,      0.11,      0.10,      0.00
       128,    283178,        50,         0,    283228,         0,      0.11,      0.11,      0.00
       129,    283178,        50,         0,    283228,         0,      0.11,      0.11,      0.00
       130,    283178,        50,         0,    283228,         0,      0.10,      0.10,      0.00
       131,    283177,        49,         2,    283228,       128,      0.12,      0.11,      0.01
       132,    283177,        49,         2,    283228,       128,      0.13,      0.11,      0.02
       133,    283177,        49,         2,    283228,       128,      0.13,      0.11,      0.01
       134,    283178,        50,         0,    283228,         0,      0.12,      0.12,      0.00
       135,    283178,        50,         0,    283228,         0,      0.12,      0.12,      0.00
       136,    283178,        50,         0,    283228,         0,      0.12,      0.12,      0.00
       137,    283178,        50,         0,    283228,         0,      0.12,      0.12,      0.00
       138,    283178,        50,         0,    283228,         0,      0.12,      0.12,      0.00
       139,    283178,        50,         0,    283228,         0,      0.12,      0.12,      0.00
       140,    283178,        50,         0,    283228,         0,      0.10,      0.10,      0.00
       141,    283178,        50,         0,    283228,         0,      0.10,      0.10,      0.00
       142,    283178,        50,         0,    283228,         0,      0.10,      0.10,      0.00
       143,    283178,        50,         0,    283228,         0,      0.11,      0.11,      0.00
       144,    283175,        49,         4,    283228,       256,      0.24,      0.12,      0.12
       145,    283178,        50,         0,    283228,         0,      0.11,      0.11,      0.00
       146,    283177,        49,         2,    283228,       128,      0.13,      0.11,      0.01
       147,    283178,        50,         0,    283228,         0,      0.11,      0.10,      0.00
       148,    283178,        50,         0,    283228,         0,      0.12,      0.11,      0.00
       149,    283178,        50,         0,    283228,         0,      0.10,      0.09,      0.00
       150,    283178,        50,         0,    283228,         0,      0.12,      0.11,      0.00
       151,    283177,        49,         2,    283228,       128,      0.13,      0.11,      0.02
       152,    283178,        50,         0,    283228,         0,      0.10,      0.10,      0.00
       153,    283178,        50,         0,    283228,         0,      0.12,      0.11,      0.00
       154,    283178,        50,         0,    283228,         0,      0.10,      0.10,      0.00
       155,    283178,        50,         0,    283228,         0,      0.12,      0.12,      0.00
       156,    283178,        50,         0,    283228,         0,      0.12,      0.12,      0.00
       157,    283177,        49,         2,    283228,       128,      0.13,      0.12,      0.02
       158,    283178,        50,         0,    283228,         0,      0.12,      0.12,      0.00
       159,    283177,        48,         3,    283228,       192,      0.14,      0.12,      0.02
       160,    283178,        50,         0,    283228,         0,      0.11,      0.10,      0.00
       161,    283178,        50,         0,    283228,         0,      0.10,      0.10,      0.00
       162,    283178,        50,         0,    283228,         0,      0.12,      0.12,      0.00
       163,    283178,        50,         0,    283228,         0,      0.10,      0.10,      0.00
       164,    283178,        50,         0,    283228,         0,      0.10,      0.10,      0.00
       165,    283178,        50,         0,    283228,         0,      0.10,      0.09,      0.00
       166,    283178,        50,         0,    283228,         0,      0.10,      0.10,      0.00
       167,    283177,        48,         3,    283228,       192,      0.13,      0.11,      0.01
       168,    283178,        50,         0,    283228,         0,      0.11,      0.11,      0.00
       169,    283178,        50,         0,    283228,         0,      0.10,      0.10,      0.00
       170,    283178,        50,         0,    283228,         0,      0.12,      0.12,      0.00
       171,    283177,        49,         2,    283228,       128,      0.13,      0.11,      0.02
       172,    283178,        50,         0,    283228,         0,      0.12,      0.12,      0.00
       173,    283177,        49,         2,    283228,       128,      0.13,      0.11,      0.02
       174,    283178,        50,         0,    283228,         0,      0.13,      0.12,      0.00
       175,    283178,        50,         0,    283228,         0,      0.12,      0.11,      0.00
       176,    283178,        50,         0,    283228,         0,      0.11,      0.11,      0.00
       177,    283178,        50,         0,    283228,         0,      0.10,      0.10,      0.00
       178,    283174,        49,         5,    283228,       384,      0.15,      0.11,      0.03
       179,    283178,        50,         0,    283228,         0,      0.12,      0.12,      0.00
       180,    283178,        50,         0,    283228,         0,      0.12,      0.11,      0.00
       181,    283178,        50,         0,    283228,         0,      0.12,      0.12,      0.00
       182,    283178,        50,         0,    283228,         0,      0.12,      0.12,      0.00
       183,    283178,        50,         0,    283228,         0,      0.11,      0.11,      0.00
       184,    283178,        50,         0,    283228,         0,      0.11,      0.11,      0.00
       185,    283178,        50,         0,    283228,         0,      0.11,      0.11,      0.00
       186,    283178,        50,         0,    283228,         0,      0.11,      0.11,      0.00
       187,    283178,        50,         0,    283228,         0,      0.11,      0.10,      0.00
       188,    283178,        50,         0,    283228,         0,      0.12,      0.12,      0.00
       189,    283178,        50,         0,    283228,         0,      0.10,      0.10,      0.00
       190,    283178,        50,         0,    283228,         0,      0.11,      0.10,      0.00
       191,    283177,        49,         2,    283228,       128,      0.24,      0.12,      0.12
       192,    283178,        50,         0,    283228,         0,      0.10,      0.10,      0.00
       193,    283178,        50,         0,    283228,         0,      0.10,      0.10,      0.00
       194,    283178,        50,         0,    283228,         0,      0.12,      0.12,      0.00
       195,    283177,        49,         2,    283228,       128,      0.13,      0.11,      0.02
       196,    283178,        50,         0,    283228,         0,      0.12,      0.12,      0.00
       197,    283177,        49,         2,    283228,       128,      0.12,      0.11,      0.01
       198,    283176,        48,         4,    283228,       256,      0.15,      0.13,      0.02
       199,    283178,        50,         0,    283228,         0,      0.11,      0.11,      0.00
       200,    283177,        48,         3,    283228,       192,      0.14,      0.12,      0.02
       201,    283178,        50,         0,    283228,         0,      0.12,      0.12,      0.00
       202,    283176,        49,         3,    283228,       192,      0.13,      0.11,      0.02
       203,    283177,        49,         2,    283228,       128,      0.12,      0.10,      0.01
       204,    283178,        50,         0,    283228,         0,      0.12,      0.11,      0.00
       205,    283178,        50,         0,    283228,         0,      0.12,      0.12,      0.00
       206,    283177,        48,         3,    283228,       192,      0.13,      0.11,      0.01
       207,    283178,        50,         0,    283228,         0,      0.11,      0.11,      0.00
       208,    283178,        50,         0,    283228,         0,      0.11,      0.10,      0.00
       209,    283178,        50,         0,    283228,         0,      0.10,      0.10,      0.00
       210,    283178,        50,         0,    283228,         0,      0.11,      0.10,      0.00
       211,    283178,        50,         0,    283228,         0,      0.11,      0.10,      0.00
       212,    283178,        50,         0,    283228,         0,      0.11,      0.11,      0.00
       213,    283178,        50,         0,    283228,         0,      0.12,      0.12,      0.00
       214,    283176,        49,         3,    283228,       192,      0.15,      0.12,      0.03
       215,    283177,        49,         2,    283228,       128,      0.12,      0.10,      0.02
       216,    283178,        50,         0,    283228,         0,      0.12,      0.11,      0.00
       217,    283178,        50,         0,    283228,         0,      0.12,      0.11,      0.00
       218,    283178,        50,         0,    283228,         0,      0.12,      0.12,      0.00
       219,    283177,        49,         2,    283228,       128,      0.12,      0.10,      0.01
       220,    283178,        50,         0,    283228,         0,      0.12,      0.12,      0.00
       221,    283178,        50,         0,    283228,         0,      0.11,      0.11,      0.00
       222,    283178,        50,         0,    283228,         0,      0.11,      0.11,      0.00
       223,    283178,        50,         0,    283228,         0,      0.11,      0.11,      0.00
       224,    283178,        50,         0,    283228,         0,      0.11,      0.11,      0.00
       225,    283178,        50,         0,    283228,         0,      0.12,      0.12,      0.00
       226,    283178,        50,         0,    283228,         0,      0.11,      0.11,      0.00
       227,    283178,        50,         0,    283228,         0,      0.11,      0.10,      0.00
       228,    283178,        50,         0,    283228,         0,      0.12,      0.12,      0.00
       229,    283173,        49,         6,    283228,       384,      0.28,      0.11,      0.16
       230,    283178,        50,         0,    283228,         0,      0.11,      0.11,      0.00
       231,    283178,        50,         0,    283228,         0,      0.10,      0.10,      0.00
       232,    283178,        50,         0,    283228,         0,      0.12,      0.11,      0.00
       233,    283176,        47,         5,    283228,       320,      0.15,      0.12,      0.03
       234,    283178,        50,         0,    283228,         0,      0.09,      0.09,      0.00
       235,    283178,        50,         0,    283228,         0,      0.11,      0.10,      0.00
       236,    283178,        50,         0,    283228,         0,      0.10,      0.10,      0.00
       237,    283177,        49,         2,    283228,       128,      0.13,      0.12,      0.01
       238,    283178,        50,         0,    283228,         0,      0.11,      0.11,      0.00
       239,    283178,        50,         0,    283228,         0,      0.11,      0.11,      0.00
       240,    283178,        50,         0,    283228,         0,      0.11,      0.11,      0.00
       241,    283178,        50,         0,    283228,         0,      0.10,      0.10,      0.00
       242,    283178,        50,         0,    283228,         0,      0.12,      0.12,      0.00
       243,    283176,        31,        21,    283228,      1408,      0.25,      0.12,      0.13
       244,    283173,        47,         8,    283228,       960,      0.15,      0.11,      0.04
       245,    283177,        49,         2,    283228,       128,      0.13,      0.11,      0.02
       246,    283178,        50,         0,    283228,         0,      0.11,      0.10,      0.00
       247,    283178,        50,         0,    283228,         0,      0.11,      0.11,      0.00
       248,    283178,        50,         0,    283228,         0,      0.12,      0.11,      0.00
       249,    283178,        50,         0,    283228,         0,      0.12,      0.12,      0.00
       250,    283178,        50,         0,    283228,         0,      0.13,      0.12,      0.00
       251,    283177,        43,         8,    283228,       512,      0.17,      0.12,      0.05
       252,    283178,        50,         0,    283228,         0,      0.12,      0.11,      0.00
       253,    283177,        49,         2,    283228,       128,      0.12,      0.11,      0.01
       254,    283175,        49,         4,    283228,       256,      0.14,      0.11,      0.02
       255,    283178,        50,         0,    283228,         0,      0.11,      0.11,      0.00
       256,    283177,        49,         2,    283228,       128,      0.12,      0.11,      0.01
       257,    283178,        50,         0,    283228,         0,      0.11,      0.11,      0.00
       258,    283177,        49,         2,    283228,       128,      0.13,      0.11,      0.01
       259,    283178,        50,         0,    283228,         0,      0.10,      0.10,      0.00
       260,    283176,        47,         5,    283228,       320,      0.15,      0.12,      0.03
       261,    283178,        50,         0,    283228,         0,      0.10,      0.10,      0.00
       262,    283177,        49,         2,    283228,       192,      0.11,      0.09,      0.02
       263,    283178,        50,         0,    283228,         0,      0.12,      0.12,      0.00
       264,    283177,        49,         2,    283228,       256,      0.13,      0.11,      0.02
       265,    283178,        50,         0,    283228,         0,      0.12,      0.12,      0.00
       266,    283178,        50,         0,    283228,         0,      0.11,      0.11,      0.00
       267,    283178,        50,         0,    283228,         0,      0.10,      0.10,      0.00
       268,    283178,        50,         0,    283228,         0,      0.11,      0.11,      0.00
       269,    283177,        48,         3,    283228,       192,      0.15,      0.11,      0.03
       270,    283178,        50,         0,    283228,         0,      0.11,      0.10,      0.00
       271,    283177,        49,         2,    283228,       128,      0.13,      0.11,      0.01
       272,    283178,        50,         0,    283228,         0,      0.12,      0.12,      0.00
       273,    283178,        50,         0,    283228,         0,      0.10,      0.10,      0.00
       274,    283178,        50,         0,    283228,         0,      0.11,      0.11,      0.00
       275,    283178,        50,         0,    283228,         0,      0.11,      0.11,      0.00
       276,    283178,        50,         0,    283228,         0,      0.11,      0.11,      0.00
       277,    283177,        49,         2,    283228,       128,      0.12,      0.11,      0.01
       278,    283178,        50,         0,    283228,         0,      0.13,      0.12,      0.00
       279,    283178,        50,         0,    283228,         0,      0.11,      0.11,      0.00
       280,    283178,        50,         0,    283228,         0,      0.10,      0.10,      0.00
       281,    283178,        50,         0,    283228,         0,      0.10,      0.10,      0.00
       282,    283177,        48,         3,    283228,       192,      0.13,      0.11,      0.02
       283,    283177,        49,         2,    283228,       128,      0.13,      0.12,      0.01
       284,    283177,        49,         2,    283228,       128,      0.12,      0.11,      0.01
       285,    283177,        49,         2,    283228,       128,      0.13,      0.12,      0.01
       286,    283178,        50,         0,    283228,         0,      0.11,      0.11,      0.00
       287,    283178,        50,         0,    283228,         0,      0.10,      0.10,      0.00
       288,    283178,        50,         0,    283228,         0,      0.11,      0.11,      0.00
       289,    283178,        50,         0,    283228,         0,      0.11,      0.11,      0.00
       290,    283178,        50,         0,    283228,         0,      0.12,      0.12,      0.00
       291,    283176,        47,         5,    283228,       320,      0.16,      0.13,      0.04
       292,    283178,        50,         0,    283228,         0,      0.12,      0.12,      0.00
       293,    283178,        50,         0,    283228,         0,      0.11,      0.11,      0.00
       294,    283178,        50,         0,    283228,         0,      0.11,      0.11,      0.00
       295,    283178,        50,         0,    283228,         0,      0.10,      0.10,      0.00
       296,    283178,        50,         0,    283228,         0,      0.10,      0.10,      0.00
       297,    283178,        50,         0,    283228,         0,      0.10,      0.10,      0.00
       298,    283176,        49,         3,    283228,       192,      0.13,      0.11,      0.02
       299,    283178,        50,         0,    283228,         0,      0.10,      0.10,      0.00
       300,    283177,        45,         6,    283228,      1472,      0.12,      0.08,      0.03
       301,    283177,        48,         3,    283228,       192,      0.14,      0.12,      0.02
       302,    283175,        47,         6,    283228,       384,      0.16,      0.12,      0.03
       303,    283176,        49,         3,    283228,       192,      0.13,      0.11,      0.01
       304,    283178,        50,         0,    283228,         0,      0.11,      0.11,      0.00
       305,    283178,        50,         0,    283228,         0,      0.10,      0.10,      0.00
       306,    283176,        44,         8,    283228,       576,      0.17,      0.12,      0.05
       307,    283177,        49,         2,    283228,       128,      0.15,      0.10,      0.05
       308,    283177,        49,         2,    283228,       128,      0.14,      0.11,      0.03
       309,    283178,        50,         0,    283228,         0,      0.12,      0.12,      0.00
       310,    283178,        50,         0,    283228,         0,      0.12,      0.12,      0.00
       311,    283177,        49,         2,    283228,       128,      0.14,      0.12,      0.02
       312,    283178,        50,         0,    283228,         0,      0.11,      0.11,      0.00
       313,    283178,        50,         0,    283228,         0,      0.11,      0.11,      0.00
       314,    283178,        50,         0,    283228,         0,      0.12,      0.12,      0.00
       315,    283177,        48,         3,    283228,       192,      0.14,      0.12,      0.02
       316,    283178,        50,         0,    283228,         0,      0.12,      0.12,      0.00
       317,    283173,        49,         6,    283228,       384,      0.14,      0.11,      0.03
       318,    283178,        50,         0,    283228,         0,      0.12,      0.12,      0.00
       319,    283178,        50,         0,    283228,         0,      0.12,      0.11,      0.00
       320,    283178,        50,         0,    283228,         0,      0.12,      0.12,      0.00
       321,    283176,        48,         4,    283228,       640,      0.13,      0.10,      0.03
       322,    283178,        50,         0,    283228,         0,      0.12,      0.12,      0.00
       323,    283177,        49,         2,    283228,       128,      0.12,      0.10,      0.01
       324,    283178,        50,         0,    283228,         0,      0.12,      0.11,      0.00
       325,    283160,        44,        24,    283228,      1536,      0.26,      0.12,      0.13
       326,    283178,        50,         0,    283228,         0,      0.10,      0.09,      0.00
       327,    283178,        50,         0,    283228,         0,      0.10,      0.10,      0.00
       328,    283178,        50,         0,    283228,         0,      0.10,      0.10,      0.00
       329,    283178,        50,         0,    283228,         0,      0.10,      0.10,      0.00
       330,    283177,        49,         2,    283228,       128,      0.12,      0.10,      0.02
       331,    283178,        50,         0,    283228,         0,      0.11,      0.10,      0.00
